T,x,y,z,vx,vy,vz,omega0,omega1,omega2,omega3,wx,wy,wz
0,6621000,0,0,0,7759.02357003174,0,0.5,-0.5,-0.5,0.5,0,0,0
1,6620995.44684726,7759.02179144738,-1.53717709735814e-05,-9.10630443830073,7759.01823427892,-3.07435384393682e-05,0.5,-0.5,-0.5,0.5,0,0,0
2,6620981.78739528,15518.0329113931,-6.14870628476277e-05,-18.2125964084936,7759.00222702768,-6.14870347852427e-05,0.5,-0.5,-0.5,0.5,0,0,0
3,6620959.02166276,23277.0226883447,-0.000138345812481761,-27.3188634424683,7758.97554829975,-9.22304469440914e-05,0.5,-0.5,-0.5,0.5,0,0,0
4,6620927.14968086,31035.9804508441,-0.000245947914642299,-36.4250930721635,7758.93819813133,-0.000122973732822571,0.5,-0.5,-0.5,0.5,0,0,0
5,6620886.17149324,38794.8955274813,-0.000384293222002678,-45.5312728295933,7758.89017657309,-0.000153716850327635,0.5,-0.5,-0.5,0.5,0,0,0
6,6620836.08715598,46553.757246888,-0.000553381545142408,-54.637390246775,7758.83148369019,-0.000184459757366151,0.5,-0.5,-0.5,0.5,0,0,0
7,6620776.89673768,54312.5549377767,-0.000753212652548383,-63.7434328558289,7758.76211956226,-0.000215202411845357,0.5,-0.5,-0.5,0.5,0,0,0
8,6620708.60031936,62071.2779289566,-0.000983786270615637,-72.8493881890236,7758.68208428341,-0.000245944771673073,0.5,-0.5,-0.5,0.5,0,0,0
9,6620631.19799455,69829.9155493373,-0.00124510208364742,-81.9552437787465,7758.59137796223,-0.000276686794757531,0.5,-0.5,-0.5,0.5,0,0,0
10,6620544.68986921,77588.4571279198,-0.0015371597338533,-91.0609871574191,7758.4900007218,-0.000307428439006917,0.5,-0.5,-0.5,0.5,0,0,0
11,6620449.07606179,85346.8919938496,-0.00185995882135228,-100.166605857651,7758.37795269966,-0.000338169662330107,0.5,-0.5,-0.5,0.5,0,0,0
12,6620344.35670321,93105.2094764299,-0.00221349890417368,-109.272087412276,7758.25523404783,-0.000368910422636821,0.5,-0.5,-0.5,0.5,0,0,0
13,6620230.53193684,100863.398905126,-0.00259777949825755,-118.377419354343,7758.12184493283,-0.000399650677837583,0.5,-0.5,-0.5,0.5,0,0,0
14,6620107.60191853,108621.449609554,-0.00301280007745236,-127.482589216995,7757.97778553562,-0.000430390385843055,0.5,-0.5,-0.5,0.5,0,0,0
15,6619975.56681659,116379.350919511,-0.00345856007351664,-136.587584533561,7757.82305605168,-0.000461129504564465,0.5,-0.5,-0.5,0.5,0,0,0
16,6619834.4268118,124137.092165018,-0.00393505887612278,-145.69239283767,7757.65765669093,-0.000491867991914171,0.5,-0.5,-0.5,0.5,0,0,0
17,6619684.18209741,131894.662676324,-0.00444229583285708,-154.797001663258,7757.48158767778,-0.000522605805805661,0.5,-0.5,-0.5,0.5,0,0,0
