time_s,tau_control_x,tau_control_y,tau_control_z,tau_aero_x,tau_aero_y,tau_aero_z,tau_total_x,tau_total_y,tau_total_z
0,0.001,0.001,-0.001,-2.73600021743775e-24,5.85122976010462e-07,-3.90081974319184e-07,0.001,0.00100058512297601,-0.00100039008197432
1,0.000964731262916258,0.000964710647952704,-0.00096471744473841,3.85538506359616e-10,5.85299600803417e-07,-3.90071211345969e-07,0.000964731648454765,0.000965295947553507,-0.000965107515949755
2,0.00093053348911198,0.000930492920446865,-0.000930506150141378,7.0379571360884e-10,5.85692524175119e-07,-3.90227074520816e-07,0.000930534192907694,0.00093107861297104,-0.000930896377215898
3,0.000897374621175165,0.000897314729188518,-0.000897334047249002,9.56224414300592e-10,5.86291746412967e-07,-3.90542413104652e-07,0.00089737557739958,0.000897901020934931,-0.000897724589662107
4,0.000865223346964212,0.000865144732560864,-0.000865169812766994,1.14383100330726e-09,5.87086933505084e-07,-3.91010002291448e-07,0.000865224490795215,0.000865731819494369,-0.000865560822769285
5,0.00083404909039107,0.00083395232629423,-0.000833982859825897,1.26722034334236e-09,5.88067460546726e-07,-3.91622557190652e-07,0.000834050357611413,0.000834540393754777,-0.000834374482383088
6,0.000803821985832908,0.000803707617793873,-0.000803743312377768,1.32663515739182e-09,5.89222463383563e-07,-3.92372754125229e-07,0.000803823312468066,0.000804296840257257,-0.000804135685131893
7,0.000774512887891373,0.000774381435891518,-0.000774422014951458,1.32198892170174e-09,5.9054088530046e-07,-3.93253250793189e-07,0.000774514209880294,0.000774971976776819,-0.000774815268202252
8,0.000746093444536629,0.000745945404059605,-0.000745990605803734,1.25289267675303e-09,5.92011531821281e-07,-3.94256713863798e-07,0.000746094697429306,0.000746537415591427,-0.000746384862517597
9,0.000718536050339106,0.000718371893513176,-0.000718421470128762,1.11868793353503e-09,5.93623093301133e-07,-3.95375823070312e-07,0.00071853716902704,0.000718965516606477,-0.000718816845951832
10,0.000691813807514139,0.000691633984144037,-0.000691687701080917,9.18476971751532e-10,5.9536416643617e-07,-3.96603275450447e-07,0.00069181472599111,0.000692229348310473,-0.000692084304356368
11,0.000665900525439748,0.000665705464036521,-0.000665763099292065,6.51145776806819e-10,5.97223288801024e-07,-3.9793180072567e-07,0.000665901176585525,0.000666302687325322,-0.000666161031092791
12,0.000640770743788394,0.000640560852600183,-0.000640622195999948,3.15385974419307e-10,5.99188968833572e-07,-3.99354173979507e-07,0.000640771059174368,0.000641160041569017,-0.000641021550173928
